iter	Passed	Remaining
430	104643	138148
431	104917	137946
432	105210	137770
433	105475	137555
434	105738	137338
435	106004	137125
436	106272	136914
437	106559	136726
438	106868	136568
439	107163	136390
440	107307	136019
441	107550	135775
442	107834	135584
443	108147	135427
444	108449	135256
445	108704	135027
446	108980	134823
447	109226	134582
448	109471	134340
449	109693	134070
450	109882	133758
451	110160	133557
452	110443	133360
453	110759	133204
454	110999	132954
455	111261	132733
456	111507	132491
457	111783	132285
458	112059	132078
459	112334	131870
460	112582	131631
461	112856	131421
462	113101	131177
463	113331	130916
464	113565	130661
465	113841	130453
466	114092	130216
467	114347	129985
468	114628	129782
469	114935	129608
470	115199	129385
471	115507	129211
472	115754	128969
473	116039	128769
474	116280	128520
475	116557	128310
476	116701	127956
477	116983	127751
478	117284	127568
479	117597	127396
480	117839	127148
481	118141	126964
482	118417	126753
483	118665	126511
484	118910	126265
485	119217	126085
486	119490	125869
487	119749	125638
488	120023	125422
489	120323	125234
490	120578	124998
491	120824	124753
492	121132	124572
493	121409	124358
494	121683	124141
495	122020	123988
496	122312	123789
497	122581	123565
498	122831	123323
499	123082	123082
500	123343	122851
501	123604	122619
502	123854	122377
503	124094	122124
504	124336	121874
505	124613	121657
506	124908	121459
507	125154	121212
508	125457	121020
509	125759	120827
510	126022	120596
511	126157	120244
512	126441	120033
513	126724	119821
514	126971	119575
515	127240	119349
516	127367	118991
517	127604	118736
518	127893	118529
519	128174	118314
520	128464	118108
521	128754	117901
522	129045	117695
523	129371	117520
524	129623	117278
525	129921	117077
526	130205	116863
527	130468	116630
528	130739	116404
529	130974	116147
530	131238	115915
531	131469	115653
532	131717	115407
533	131954	115151
534	132228	114927
535	132509	114709
536	132758	114464
537	132988	114201
538	133259	113974
539	133525	113743
540	133799	113519
541	134078	113299
542	134323	113049
543	134556	112789
544	134817	112553
545	135057	112300
546	135319	112065
547	135561	111813
548	135831	111584
549	136097	111352
550	136331	111094
551	136583	110850
552	136865	110631
553	137116	110386
554	137351	110128
555	137613	109892
556	137902	109678
557	138156	109435
558	138419	109200
559	138676	108959
560	138931	108718
561	139168	108461
562	139423	108220
563	139670	107972
564	139962	107758
565	140219	107517
566	140473	107275
567	140755	107053
568	141035	106830
569	141299	106594
570	141549	106347
571	141805	106106
572	142048	105854
573	142350	105646
574	142625	105418
575	142882	105177
576	143086	104896
577	143348	104659
578	143493	104336
579	143756	104099
580	143969	103826
581	144251	103603
582	144524	103373
583	144817	103157
584	145036	102889
585	145294	102648
586	145566	102417
587	145848	102192
588	146127	101966
589	146375	101718
590	146617	101466
591	146886	101232
592	147139	100987
593	147366	100725
594	147629	100487
595	147944	100284
596	148280	100095
597	148615	99905
598	148932	99702
599	149233	99488
600	149620	99332
601	149845	99067
602	150077	98807
603	150301	98541
604	150527	98278
605	150780	98032
606	151012	97772
607	151303	97551
608	151500	97268
609	151765	97030
610	152112	96844
611	152376	96604
612	152629	96358
613	152873	96106
614	152937	95741
615	153199	95500
616	153457	95258
617	153662	94982
618	153939	94751
619	154291	94565
620	154570	94335
621	154802	94076
622	155051	93827
623	155329	93596
624	155585	93351
625	155822	93095
626	156040	92828
627	156258	92560
628	156359	92225
629	156592	91966
630	156822	91707
631	157060	91453
632	157130	91100
633	157382	90854
634	157606	90592
635	157682	90245
636	157925	89995
637	158159	89739
638	158411	89494
639	158631	89230
640	158807	88941
641	159037	88684
642	159277	88432
643	159581	88215
644	159824	87965
645	160140	87754
646	160417	87523
647	160662	87273
648	160910	87025
649	161275	86840
650	161366	86508
651	161621	86264
652	161842	86001
653	162072	85744
654	162374	85525
655	162624	85278
656	162867	85028
657	163189	84818
658	163428	84566
659	163675	84317
660	164054	84136
661	164384	83930
662	164702	83717
663	164880	83433
664	165187	83214
665	165507	83002
666	165754	82752
667	166017	82511
668	166292	82276
669	166393	81954
670	166622	81697
671	166932	81479
672	166999	81142
673	167278	80909
674	167371	80586
675	167703	80378
676	167986	80147
677	168249	79905
678	168503	79660
679	168782	79427
680	168862	79100
681	169086	78840
682	169321	78587
683	169588	78347
684	169850	78106
685	170074	77847
686	170311	77594
687	170620	77374
688	170909	77145
689	171139	76888
690	171430	76660
691	171689	76416
692	171965	76180
693	172222	75936
694	172478	75692
695	172730	75445
696	173001	75207
697	173245	74957
698	173505	74714
699	173780	74477
700	174018	74224
701	174255	73971
702	174325	73648
703	174567	73397
704	174856	73166
705	175140	72933
706	175439	72707
707	175537	72396
708	175790	72150
709	176092	71925
710	176336	71675
711	176562	71418
712	176751	71146
713	177009	70902
714	177272	70661
715	177513	70410
716	177587	70093
717	177842	69849
718	178108	69608
719	178379	69369
720	178650	69131
721	178946	68902
722	179253	68676
723	179473	68418
724	179612	68128
725	179890	67892
726	180122	67638
727	180229	67338
728	180472	67089
729	180718	66841
730	180978	66598
731	181288	66373
732	181538	66126
733	181759	65869
734	182032	65630
735	182339	65404
736	182645	65177
737	182889	64928
738	183127	64676
739	183428	64448
740	183696	64207
741	183953	63962
742	184198	63713
743	184444	63464
744	184688	63215
745	184970	62979
746	185257	62744
747	185510	62498
748	185773	62255
749	186010	62003
750	186089	61699
751	186370	61462
752	186597	61208
753	186889	60974
754	187124	60722
755	187363	60471
756	187622	60227
757	187890	59986
758	188144	59740
759	188419	59500
760	188689	59259
761	188958	59018
762	189234	58779
763	189500	58536
764	189758	58291
765	190050	58057
766	190333	57819
767	190615	57581
768	190851	57329
769	191114	57086
770	191212	56793
771	191454	56543
772	191755	56311
773	192013	56066
774	192253	55815
775	192516	55571
776	192768	55324
777	193039	55083
778	193285	54834
779	193549	54590
780	193782	54338
781	194022	54088
782	194324	53855
783	194603	53615
784	194666	53316
785	194948	53077
786	195212	52833
787	195461	52586
788	195712	52338
789	195958	52090
790	196199	51840
791	196452	51593
792	196688	51342
793	196918	51089
794	197167	50841
795	197445	50601
796	197697	50354
797	197933	50103
798	198161	49850
799	198406	49601
800	198658	49354
801	198919	49109
802	199128	48852
803	199388	48607
804	199630	48357
805	199870	48107
806	200149	47867
807	200437	47628
808	200707	47385
809	200777	47096
810	200883	46814
811	201175	46577
812	201433	46332
813	201678	46083
814	201951	45841
815	202197	45593
816	202439	45344
817	202506	45056
818	202583	44771
819	202850	44528
820	203042	44268
821	203293	44022
822	203587	43784
823	203865	43544
824	204128	43299
825	204451	43068
826	204782	42838
827	205056	42596
828	205140	42314
829	205460	42082
830	205695	41832
831	205949	41586
832	206264	41351
833	206525	41107
834	206798	40864
835	207069	40621
836	207316	40373
837	207596	40131
838	207874	39890
839	208162	39650
840	208458	39411
841	208747	39171
842	209038	38931
843	209152	38658
844	209437	38417
845	209703	38172
846	209951	37925
847	210124	37663
848	210400	37421
849	210660	37175
850	210888	36924
851	211166	36681
852	211429	36436
853	211716	36195
854	211992	35951
855	212300	35714
856	212594	35473
857	212870	35230
858	213119	34982
859	213267	34717
860	213522	34471
861	213760	34221
862	213824	33944
863	214081	33698
864	214353	33454
865	214628	33210
866	214868	32961
867	215147	32718
868	215385	32468
869	215683	32228
870	215928	31980
871	216181	31733
872	216436	31486
873	216592	31224
874	216847	30978
875	216920	30705
876	217168	30458
877	217417	30210
878	217666	29963
879	217907	29714
880	218159	29467
881	218424	29222
882	218700	28978
883	218784	28709
884	219051	28464
885	219293	28216
886	219590	27974
887	219818	27724
888	220095	27480
889	220372	27237
890	220518	26976
891	220772	26730
892	221033	26484
893	221310	26240
894	221549	25991
895	221812	25746
896	222052	25497
897	222284	25248
898	222554	25003
899	222799	24755
900	223057	24509
901	223357	24267
902	223700	24029
903	223977	23785
904	224264	23541
905	224551	23297
906	224653	23035
907	224927	22790
908	225194	22544
909	225461	22298
910	225720	22051
911	225979	21805
912	226250	21559
913	226320	21294
914	226566	21047
915	226820	20800
916	227118	20557
917	227376	20310
918	227510	20052
919	227780	19807
920	228056	19561
921	228427	19324
922	228727	19081
923	228982	18834
924	229267	18589
925	229522	18341
926	229765	18093
927	230021	17846
928	230258	17597
929	230508	17350
930	230574	17088
931	230819	16840
932	231068	16593
933	231353	16348
934	231493	16093
935	231783	15848
936	232034	15601
937	232287	15353
938	232544	15106
939	232817	14860
940	233068	14613
941	233387	14369
942	233633	14122
943	233893	13875
944	234211	13631
945	234289	13373
946	234545	13126
947	234792	12878
948	235092	12634
949	235321	12385
950	235567	12137
951	235649	11881
952	235899	11634
953	236167	11387
954	236450	11141
955	236686	10893
956	236949	10646
957	237249	10401
958	237566	10156
959	237644	9901
960	237711	9646
961	238008	9401
962	238276	9154
963	238575	8909
964	238865	8663
965	239120	8416
966	239397	8169
967	239548	7918
968	239806	7671
969	240085	7425
970	240366	7178
971	240652	6932
972	240920	6685
973	241218	6439
974	241533	6193
975	241804	5946
976	242059	5698
977	242329	5451
978	242580	5203
979	242834	4955
980	243094	4708
981	243395	4461
982	243636	4213
983	243872	3965
984	244199	3718
985	244545	3472
986	244822	3224
987	245093	2976
988	245329	2728
989	245568	2480
990	245826	2232
991	246074	1984
992	246354	1736
993	246601	1488
994	246868	1240
995	247015	992
996	247281	744
997	247506	496
998	247771	248
999	248020	0
